关注项,已检查或测试范围,剩余验证
视频上传,磁盘 multipart 真实测试视频字节、鉴权、MIME 回归通过；原选择/上传代码未改,真机相册/iCloud/200MB 文件未验证
图片发送后预览,图片上传请求体和原画廊路由回归；最终图片截图要求实际解码进入图片缓存，最终构建通过,真实发送到生产账号未执行
视频发送后播放,视频打开路由、AVPlayer 同资源不重建、下载视频解码/原生渲染通过,真实发送及各编码矩阵未验证
视频下载,隔离传输下载文件与原始 MP4 字节相同，AVFoundation 读取时长通过,相册权限及真实服务器 Range 未联测
文件 App 内打开,PDF/其他文件路由通过，原下载/分享函数未改；文件详情原生截图通过,第三方文件 App 接管未验证
语音录制,录音/停止/发送/取消处理函数完全保留，语音上传 MIME/duration/内容回归通过,未调用真实麦克风
语音播放,原 AudioPlayerService 未改，语音气泡截图纳入最终回归,未验证扬声器/耳机硬件播放
键盘弹出与收起,原生 UITextView first responder、中文组合输入、原换行归一化、收起保留草稿回归,最终结果见 keyboard-validation.json；不等于完整 XCUITest 或真机输入法验收
输入框高度,320pt 大字号单聊/群聊宽度和边界断言；长文本自动换行高度严格增长断言通过,长达六行的所有设备组合未穷举
Safe Area / 刘海 / 灵动岛,媒体/通话控制区改用 Safe Area；iPhone SE 模拟器和 320/390pt 原生布局检查,未连接刘海/灵动岛真机
页面返回,原 NavigationStack、dismiss、通知路由及回调保留,原生返回手势未做真机自动化
WebSocket 重连,SocketService 完全不变；通话 resume/信令身份校验单测通过,无真实断网/切网重连联测
前后台切换,SessionStore、AppDelegate、推送和通话管理器保持不变；预览退出暂停播放器,无实际后台唤醒和推送联测
语音/视频通话,控制布局、群来电大字号、既有通话信令/SDP 单测通过；经理层未改,未进行真实双人互拨/后台 CallKit/蓝牙测试
