issue ID,原功能名称,原优先级,本轮优先级,开发分支状态,线上状态,说明
SOCIAL-001,会话草稿缺少账号隔离,P0,P0,IMPLEMENTED_VALIDATION_PENDING,本轮未发布；Server运行SHA UNKNOWN,增加Windows真实Electron、Android/iOS原生集成验证；快速钱包切换、完整原生重启/后台/真机矩阵仍未齐，保持验收待补。
SOCIAL-002,群成员接口绕过资料可见设置,P0,P0,DEV_VERIFIED,本轮未发布；Server运行SHA UNKNOWN,服务器根因本轮隔离验收通过；未发布，原生提示待设备验证。
SOCIAL-003,直接拉群未覆盖双方拉黑关系,P1,P1,DEV_VERIFIED,本轮未发布；Server运行SHA UNKNOWN,服务器根因本轮隔离验收通过；未发布，原生提示待设备验证。
SOCIAL-004,通话与消息的关系门控不一致,P1,P1,DEV_VERIFIED,本轮未发布；Server运行SHA UNKNOWN,服务器根因本轮隔离验收通过；未发布，原生提示待设备验证。
SOCIAL-005,“禁止成员间私聊”只有配置与客户端限制,P1,P1,BLOCKED_PRODUCT_DECISION,本轮未发布；Server运行SHA UNKNOWN,群来源、好友与多个共同群的规则未定义，不扩大限制。
SOCIAL-006,群邀请缺少撤销与被踢后重入规则,P1,P1,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-007,接受好友申请时未复查申请者账号状态,P1,P1,DEV_VERIFIED,本轮未发布；Server运行SHA UNKNOWN,服务器根因本轮隔离验收通过；未发布，原生提示待设备验证。
SOCIAL-008,关系、资料和会话偏好缺少跨设备失效通知,P2,P2,IMPLEMENTED_VALIDATION_PENDING,本轮未发布；Server运行SHA UNKNOWN,增加Windows实时/重连与原生联系人失效集成验证；原生双设备真实Socket及全部偏好/资料页面矩阵未齐，保持验收待补。
SOCIAL-009,群通话未随踢人收回参与权限,P0,P0,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-010,朋友圈通知未按当前可见性重新授权,P0,P0,DEV_VERIFIED,本轮未发布；Server运行SHA UNKNOWN,服务器根因本轮隔离验收通过；未发布，原生提示待设备验证。
SOCIAL-011,阅后即焚未形成可靠销毁链路,P1,P0,PARTIAL_RULE_BLOCKED,本轮未发布；Server运行SHA UNKNOWN,已修个人移除后的访问绕过、事件正文残留、通知预览及原生缓存竞态；服务器自动到期与全局清理规则未定义，P0不关闭。
SOCIAL-012,原生缺群成员资料入口及名片操作闭环,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-013,原生缺成员邀请权限管理和成员搜索入口,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-014,原生未接入动态编辑,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-015,原生好友申请推送缺少正确点击目标,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-016,缺少用户、聊天消息和群举报链路,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-017,好友申请缺撤销和过期终态,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-018,动态编辑绕过创建时内容审核,P1,P1,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-019,移动端被叫缺协商阶段超时收敛,P1,P1,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-020,撤回后的消息仍可新增Reaction,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-021,iOS删除好友提示错误承诺删除聊天记录,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-022,统一社交通知中心尚未形成用户功能,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
SOCIAL-023,外部邀请链接缺原生接续，Web预览自动入群,P2,P2,OPEN_OUT_OF_SCOPE,本轮未发布；Server运行SHA UNKNOWN,保留未关闭，不扩展本轮开发。
