id,category,name,variants,states,desktop_size,mobile_size,interaction,accessibility,source_paths,capability_notes,implementation,verification
B01,base,操作按钮 · 层级,Primary / Secondary / Ghost / Danger,主要 / 次要 / 轻量 / 危险,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/ui-kit/design-system.css,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B02,base,按钮 · 尺寸,32 / 40 / 48,紧凑 / 默认 / 大尺寸,32 / 40 / 48 px,44 / 48 / 52 px,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/ui-kit/design-system.css,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B03,base,按钮 · 交互状态,默认 / 按下 / 焦点 / 加载 / 禁用,默认 / 按下 / 焦点 / 加载 / 禁用,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/ui-kit/design-system.css,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B04,base,图标按钮与悬浮操作,常规 / 选中 / 悬浮按钮,常规 / 选中 / 悬浮按钮,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Icons.jsx;web/src/ui-kit/Icon.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B05,base,用户头像,文字头像 / 状态点,24 / 36 / 48 / 在线 / 离线,24 / 36 / 48 px,28 / 40 / 52 px,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Avatar.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B06,base,群头像与头像堆叠,群组 / 成员堆叠 / 人数溢出,群组 / 成员堆叠 / 人数溢出,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/GroupAvatar.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B07,base,徽标与未读数,数字 / 溢出 / 红点 / 免打扰,数字 / 溢出 / 红点 / 免打扰,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B08,base,标签与状态,在线 / 已完成 / 待处理 / 失败,在线 / 已完成 / 待处理 / 失败,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/GroupInfo.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B09,base,文字链接与快捷提示,普通 / 外部链接 / 键盘提示,普通 / 外部链接 / 键盘提示,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/utils/linkify.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
B10,base,信息卡片与分隔,标题 / 描述 / 操作 / 分隔线,标题 / 描述 / 操作 / 分隔线,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F01,forms,文本输入,默认 / 必填 / 帮助文字,默认 / 必填 / 帮助文字,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Login.jsx;web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F02,forms,搜索输入,前缀图标 / 快捷键 / 有内容,前缀图标 / 快捷键 / 有内容,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/GlobalSearch.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F03,forms,密码输入,隐藏内容 / 安全提示,隐藏内容 / 安全提示,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Login.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
