动作ID,区域,按钮或控件,触发与前置条件,进行中反馈,成功反馈,错误与恢复,权限或能力边界,可逆与确认,现有实现,差异,验证,原生实现,原生验证边界
ACT01,认证,登录,输入有效账号及凭据后提交,按钮加载并防止重复提交,真实认证通过后进入会话列表,保留账号并显示可恢复错误不泄露凭据,只调用既有认证流程不得模拟登录成功,可退出登录,web/src/pages/Login.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/auth/LoginScreen.kt;ios/Touliao/Features/Auth/LoginView.swift,Android 隔离原生表单、软键盘和返回检查见最终记录；真实登录未提交；iOS 完整输入流程未验证
ACT02,认证,获取验证码,账号格式有效且冷却结束,请求中禁用重复点击,服务端确认发送后开始倒计时,请求失败恢复按钮并保留输入,受服务端频率与验证规则约束,已发送短信不可撤回,web/src/pages/Register.jsx,没有短信发送/自助密码重置能力，不加入原型流程,未实现；未新增入口,未登录短信发送/自助重置未接入；保留现有管理员协助说明,未新增入口；已登录改密保留原逻辑
ACT03,认证,重置密码,完成真实身份验证并符合密码规则,提交中保护凭据并禁用重复提交,服务端确认后提示成功并按既有登录策略处理,保留非敏感字段并明确失败原因,需既有找回密码能力,不展示明文旧密码且提交前明确动作,web/src/pages/ForgotPassword.jsx,没有短信发送/自助密码重置能力，不加入原型流程,未实现；未新增入口,未登录短信发送/自助重置未接入；保留现有管理员协助说明,未新增入口；已登录改密保留原逻辑
ACT04,消息,打开会话,选择有效联系人或群聊,按需加载历史并保持列表选中,展示真实消息及现有未读位置,加载失败显示重试不清空已加载内容,访问权由业务与服务端判定,返回列表可恢复原位置,web/src/components/ChatList.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,打开私聊/群聊并加载历史，桌面/窄屏已验,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT05,消息,发送消息,内容有效且非中文输入组合阶段,消息进入发送中并沿用现有本地标识,服务端确认后展示已发送状态,失败保留内容并提供重试,发送权限与长度限制来自既有协议,发送后仅按真实撤回能力处理,web/src/components/ChatWindow.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,IME/换行/粘贴、发送 ACK 展示已验；按原逻辑保留乐观消息,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT06,消息,重新发送,选择明确失败的消息,同一消息进入重试态,确认后清除失败标记,再次失败保留消息及原因,复用既有去重机制不得创建重复消息,重试本身不可撤销已确认发送,web/src/components/ChatWindow.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,快速失败回执、自动/手动重试、clientMsgId 一致性已验,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT07,消息,引用回复,对支持引用的消息操作,编辑区显示来源摘要,发送后按真实引用结构呈现,来源失效时说明状态并允许取消引用,仅映射现有引用协议,发送前可取消引用,web/src/components/ComposeContextBar.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT08,消息,撤回消息,当前消息满足服务端身份和时限条件,菜单操作中防止重复提交,服务端撤回事件到达后更新消息,超时或无权限说明原因并保持真实状态,必须已有撤回接口与事件不得仅本地删除冒充撤回,确认规则与撤回后表现沿用现有产品,web/src/components/ChatWindow.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT09,消息,删除会话,选择会话管理中的删除动作,提交或本地处理期间显示进行中,会话列表按真实删除范围更新,失败保留原会话并可重试,明确仅删列表还是同时清记录及同步其他设备,确认弹窗写明范围且仅真实支持时提供撤销,web/src/components/ChatList.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT10,消息,置顶会话,对可见会话切换置顶,行内轻量反馈,按真实结果重排列表,失败恢复之前顺序并提示,沿用现有本地或服务端同步规则,再次点击可取消置顶,web/src/components/ChatList.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT11,消息,消息免打扰,切换会话通知设置,开关提交中不可重复切换,状态图标及设置同步更新,失败恢复原状态并显示原因,不得假称已修改系统通知权限,再次切换可恢复,web/src/components/ChatList.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;android/app/src/main/java/com/touliao/app/feature/chat/ConversationListScreen.kt;ios/Touliao/Features/Chat/ChatView.swift;ios/Touliao/Features/Chat/ConversationListView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT12,搜索,搜索,提交有效关键词或完成输入后的自动搜索,结果区加载但保留关键词,按类别展示真实结果及数量,失败可重试无结果展示空态,搜索范围与过滤条件以接口支持为准,清空关键词恢复原页面,web/src/components/GlobalSearch.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,本地联系人结果及收藏搜索空态已验,android/app/src/main/java/com/touliao/app/feature/search/SearchScreen.kt;ios/Touliao/Features/Search/SearchView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
